session_id,user_id,timestamp,page_url,category,time_spent_seconds,device,referrer,clicked_cta,bounce
S000123,U00276,2026-01-12T04:46:40,/blog/how-to-buy,Content,363,Desktop,Affiliate,No,No
S000124,U00097,2026-06-26T18:18:47,/cart,Cart,254,Mobile,Google,No,Yes
S000125,U00362,2025-10-24T02:39:49,/blog/how-to-buy,Content,405,Tablet,YouTube,Yes,No
S000126,U00065,2026-01-26T03:23:08,/home,Landing,614,Desktop,Direct,No,Yes
S000127,U00008,2025-04-22T23:15:06,/blog/how-to-buy,Content,429,Mobile,Google,Yes,No
S000128,U00174,2026-04-30T02:23:50,/offers,Promotion,719,Desktop,Direct,No,No
S000129,U00195,2025-09-03T22:59:30,/checkout,Checkout,651,Mobile,Email,Yes,No
S000130,U00324,2026-06-16T14:07:57,/product/sku-220,Product,304,Tablet,YouTube,Yes,No
S000131,U00390,2026-05-08T05:54:56,/search,Discovery,730,Mobile,Email,Yes,No
S000132,U00024,2025-09-09T22:46:55,/home,Landing,67,Desktop,Instagram,No,Yes
S000133,U00211,2026-03-16T13:39:49,/checkout,Checkout,708,Mobile,Google,Yes,Yes
S000134,U00318,2026-06-15T14:33:05,/support,Support,256,Mobile,Affiliate,Yes,No
S000135,U00236,2025-07-18T07:38:05,/offers,Promotion,692,Desktop,Email,No,No
S000136,U00038,2025-12-10T02:26:23,/product/sku-100,Product,363,Tablet,Instagram,No,No
S000137,U00155,2025-06-04T17:40:26,/blog/how-to-buy,Content,403,Mobile,Direct,Yes,No
S000138,U00295,2025-08-18T19:27:39,/cart,Cart,726,Desktop,YouTube,No,No
S000139,U00311,2026-01-21T19:40:03,/home,Landing,303,Mobile,Google,No,No
S000140,U00318,2025-07-14T16:01:19,/product/sku-220,Product,704,Mobile,YouTube,Yes,No
S000141,U00159,2025-12-09T09:32:23,/home,Landing,44,Mobile,YouTube,Yes,Yes
S000142,U00168,2025-11-19T17:32:20,/offers,Promotion,189,Desktop,Affiliate,No,No
S000143,U00085,2025-07-19T14:16:10,/offers,Promotion,503,Tablet,Instagram,No,No
S000144,U00039,2025-04-20T07:54:03,/blog/how-to-buy,Content,241,Mobile,YouTube,No,No
S000145,U00188,2025-03-12T03:22:03,/checkout,Checkout,414,Desktop,Affiliate,Yes,No
S000146,U00300,2025-10-23T22:49:48,/offers,Promotion,663,Tablet,Direct,Yes,No
S000147,U00168,2026-04-19T20:45:23,/checkout,Checkout,236,Mobile,YouTube,No,No
S000148,U00333,2025-11-14T03:11:11,/offers,Promotion,129,Desktop,Direct,No,No
S000149,U00050,2025-07-02T08:59:23,/search,Discovery,560,Desktop,Email,No,No
S000150,U00215,2026-04-02T04:49:03,/checkout,Checkout,770,Mobile,Email,Yes,No
S000151,U00144,2025-01-26T09:52:32,/support,Support,716,Desktop,Email,No,No
S000152,U00051,2026-06-17T14:00:23,/cart,Cart,386,Mobile,YouTube,No,Yes
S000153,U00098,2025-04-05T21:13:19,/offers,Promotion,475,Desktop,Google,Yes,Yes
S000154,U00125,2025-04-08T19:23:28,/cart,Cart,588,Desktop,Affiliate,Yes,No
S000155,U00169,2025-04-25T14:36:33,/product/sku-220,Product,620,Desktop,Google,Yes,No
S000156,U00057,2026-05-29T11:00:27,/product/sku-100,Product,36,Desktop,Instagram,Yes,No
S000157,U00090,2025-07-26T02:48:32,/home,Landing,63,Desktop,Email,Yes,No
S000158,U00230,2025-10-09T04:53:44,/blog/how-to-buy,Content,535,Mobile,Email,Yes,No
S000159,U00373,2026-05-27T18:50:36,/home,Landing,543,Desktop,YouTube,Yes,Yes
S000160,U00206,2025-11-28T02:18:58,/blog/how-to-buy,Content,712,Desktop,YouTube,No,Yes
S000161,U00165,2026-04-18T11:29:09,/search,Discovery,161,Desktop,Instagram,No,No
S000162,U00151,2025-12-19T09:52:06,/checkout,Checkout,527,Mobile,Direct,Yes,No
S000163,U00370,2025-06-17T00:19:13,/checkout,Checkout,450,Mobile,Google,No,No
S000164,U00205,2025-11-20T02:36:32,/blog/how-to-buy,Content,757,Desktop,Email,No,No
S000165,U00079,2026-06-18T11:16:19,/cart,Cart,495,Desktop,Direct,Yes,No
S000166,U00416,2025-04-12T01:31:40,/cart,Cart,579,Desktop,Affiliate,No,No
S000167,U00182,2026-06-01T18:50:46,/support,Support,778,Mobile,YouTube,Yes,No
S000168,U00181,2025-03-22T11:15:16,/offers,Promotion,601,Mobile,Google,No,No
S000169,U00180,2026-03-09T01:32:24,/search,Discovery,386,Desktop,Instagram,Yes,No
S000170,U00393,2026-04-28T21:46:18,/checkout,Checkout,638,Mobile,Affiliate,Yes,No
S000171,U00015,2025-05-21T03:11:57,/offers,Promotion,289,Mobile,Instagram,No,No
S000172,U00074,2026-03-16T20:59:25,/product/sku-100,Product,683,Mobile,Google,Yes,Yes
S000173,U00111,2025-10-20T04:46:19,/checkout,Checkout,439,Mobile,Google,No,No
S000174,U00398,2026-03-17T20:42:38,/cart,Cart,620,Desktop,Direct,Yes,Yes
S000175,U00346,2025-03-05T08:47:23,/home,Landing,288,Mobile,Email,No,No
S000176,U00140,2025-06-17T10:29:48,/support,Support,534,Desktop,Email,Yes,No
S000177,U00270,2026-06-03T04:15:08,/blog/how-to-buy,Content,325,Desktop,Email,Yes,Yes
S000178,U00109,2025-04-17T14:14:31,/offers,Promotion,271,Desktop,Direct,Yes,No
S000179,U00090,2025-04-11T08:11:45,/support,Support,399,Mobile,Google,No,Yes
S000180,U00224,2025-01-15T13:22:03,/home,Landing,480,Tablet,Instagram,No,No
S000181,U00149,2025-03-31T10:59:14,/support,Support,424,Desktop,Instagram,Yes,No
S000182,U00354,2025-10-09T01:25:23,/blog/how-to-buy,Content,100,Mobile,Direct,Yes,No
S000183,U00269,2025-03-03T02:05:16,/support,Support,415,Mobile,YouTube,No,No
S000184,U00040,2026-02-01T12:05:53,/product/sku-100,Product,658,Desktop,Affiliate,Yes,No
S000185,U00180,2026-05-17T07:55:44,/cart,Cart,161,Desktop,Google,No,Yes
S000186,U00390,2026-05-25T03:34:25,/product/sku-100,Product,87,Desktop,YouTube,No,No
S000187,U00349,2026-03-15T10:53:22,/blog/how-to-buy,Content,668,Mobile,Affiliate,No,No
S000188,U00078,2025-12-08T13:46:23,/cart,Cart,79,Mobile,YouTube,No,No
S000189,U00181,2026-01-30T01:26:42,/home,Landing,85,Desktop,Email,Yes,Yes
S000190,U00040,2026-05-16T17:27:14,/offers,Promotion,102,Mobile,Affiliate,No,No
S000191,U00406,2025-02-01T20:43:07,/checkout,Checkout,470,Tablet,Affiliate,Yes,No
S000192,U00257,2025-04-28T04:15:15,/blog/how-to-buy,Content,73,Mobile,Instagram,Yes,No
S000193,U00021,2025-07-12T10:16:39,/product/sku-100,Product,734,Mobile,Email,Yes,No
S000194,U00199,2025-11-14T12:00:49,/offers,Promotion,356,Mobile,Direct,No,Yes
S000195,U00286,2026-06-11T21:54:27,/search,Discovery,405,Desktop,YouTube,Yes,No
S000196,U00180,2025-08-29T23:08:19,/product/sku-100,Product,681,Mobile,Email,Yes,No
S000197,U00159,2026-03-11T03:03:45,/search,Discovery,395,Mobile,Instagram,Yes,No
S000198,U00048,2026-05-17T18:46:31,/checkout,Checkout,696,Mobile,Instagram,Yes,No
S000199,U00110,2025-09-23T10:21:09,/product/sku-100,Product,507,Desktop,Google,Yes,Yes
S000200,U00260,2026-02-24T06:03:22,/search,Discovery,766,Mobile,Direct,No,No
S000201,U00306,2025-10-20T14:34:02,/product/sku-100,Product,167,Desktop,YouTube,Yes,No
S000202,U00211,2025-10-10T23:01:59,/home,Landing,702,Mobile,Email,No,No
S000203,U00120,2026-02-19T18:41:21,/blog/how-to-buy,Content,254,Desktop,Email,Yes,No
S000204,U00237,2025-08-07T20:36:20,/blog/how-to-buy,Content,401,Mobile,Email,Yes,No
S000205,U00129,2025-02-10T12:42:07,/product/sku-100,Product,666,Mobile,Instagram,Yes,No
S000206,U00064,2025-08-10T09:57:35,/checkout,Checkout,95,Mobile,Instagram,No,No
S000207,U00224,2025-03-13T05:39:53,/product/sku-100,Product,237,Mobile,Instagram,Yes,No
S000208,U00258,2025-10-18T11:08:50,/support,Support,251,Desktop,Direct,No,No
S000209,U00051,2026-05-20T20:08:43,/cart,Cart,353,Mobile,Google,Yes,No
S000210,U00357,2025-04-18T19:16:59,/blog/how-to-buy,Content,732,Mobile,Affiliate,Yes,No
S000211,U00132,2025-06-17T12:05:44,/home,Landing,163,Mobile,YouTube,No,Yes
S000212,U00122,2025-08-22T21:51:54,/offers,Promotion,134,Desktop,Email,No,Yes
S000213,U00306,2026-02-21T08:46:00,/blog/how-to-buy,Content,26,Mobile,Affiliate,Yes,No
S000214,U00220,2025-01-02T05:09:40,/offers,Promotion,639,Desktop,Affiliate,No,Yes
S000215,U00269,2025-10-08T02:08:28,/search,Discovery,79,Tablet,Affiliate,Yes,No
S000216,U00023,2026-05-09T17:45:44,/blog/how-to-buy,Content,406,Tablet,Instagram,Yes,No
S000217,U00177,2025-07-07T06:54:46,/search,Discovery,760,Mobile,Direct,No,Yes
S000218,U00280,2025-09-20T22:58:41,/cart,Cart,668,Desktop,YouTube,No,No
S000219,U00324,2025-05-22T13:54:29,/blog/how-to-buy,Content,148,Desktop,Email,Yes,No
S000220,U00406,2025-06-04T22:23:13,/home,Landing,52,Desktop,Instagram,No,No
S000221,U00243,2025-07-16T18:06:39,/checkout,Checkout,47,Mobile,Google,No,No
S000222,U00336,2025-09-15T19:31:28,/home,Landing,289,Desktop,Instagram,No,No
S000223,U00198,2025-09-21T08:06:02,/blog/how-to-buy,Content,201,Mobile,Email,No,No
S000224,U00137,2025-03-06T03:59:24,/checkout,Checkout,754,Mobile,Email,Yes,No
S000225,U00053,2025-03-04T04:35:33,/cart,Cart,345,Mobile,Instagram,No,No
S000226,U00086,2026-06-20T18:08:52,/support,Support,464,Desktop,Direct,No,No
S000227,U00141,2026-05-12T16:34:18,/support,Support,68,Desktop,YouTube,No,No
S000228,U00016,2025-04-21T21:36:07,/product/sku-100,Product,632,Mobile,Email,Yes,Yes
S000229,U00399,2026-05-17T02:42:27,/product/sku-220,Product,385,Desktop,Affiliate,Yes,No
S000230,U00190,2025-10-16T22:49:55,/blog/how-to-buy,Content,464,Mobile,Affiliate,Yes,No
S000231,U00161,2026-05-20T12:41:23,/support,Support,295,Desktop,Direct,Yes,No
S000232,U00266,2025-10-28T13:58:03,/blog/how-to-buy,Content,585,Desktop,Instagram,No,No
S000233,U00356,2026-01-17T12:38:07,/offers,Promotion,214,Desktop,Direct,No,Yes
S000234,U00045,2026-06-14T16:04:57,/blog/how-to-buy,Content,337,Mobile,YouTube,Yes,No
S000235,U00154,2025-05-03T08:06:38,/offers,Promotion,738,Mobile,YouTube,Yes,No
S000236,U00115,2025-04-05T06:21:36,/checkout,Checkout,215,Mobile,Google,No,Yes
S000237,U00294,2025-10-14T13:00:09,/checkout,Checkout,488,Mobile,Affiliate,Yes,No
S000238,U00034,2025-08-29T05:35:48,/search,Discovery,417,Tablet,YouTube,No,No
S000239,U00295,2025-02-27T06:48:46,/support,Support,138,Tablet,YouTube,Yes,No
S000240,U00177,2025-04-10T16:19:49,/checkout,Checkout,574,Mobile,Google,Yes,No
S000241,U00064,2026-02-07T10:07:25,/home,Landing,166,Desktop,Google,No,No
S000242,U00178,2026-02-08T00:57:21,/product/sku-220,Product,300,Mobile,Instagram,Yes,No
S000243,U00141,2025-04-08T05:20:36,/checkout,Checkout,650,Desktop,Affiliate,Yes,No
S000244,U00304,2026-03-28T00:02:07,/product/sku-100,Product,167,Desktop,Affiliate,No,No
S000245,U00015,2025-03-05T02:06:13,/home,Landing,56,Tablet,Affiliate,No,No
S000246,U00317,2026-05-12T07:39:33,/support,Support,41,Mobile,YouTube,No,No
S000247,U00248,2025-07-10T04:51:18,/offers,Promotion,711,Mobile,Email,Yes,No
S000248,U00226,2025-11-19T19:45:03,/product/sku-100,Product,505,Mobile,Instagram,Yes,No
S000249,U00376,2025-09-26T06:10:25,/cart,Cart,418,Desktop,Instagram,Yes,No
S000250,U00063,2025-07-27T18:02:00,/blog/how-to-buy,Content,470,Desktop,Direct,Yes,No
S000251,U00316,2025-11-21T18:35:47,/support,Support,264,Tablet,Google,No,No
S000252,U00098,2025-05-04T18:21:28,/cart,Cart,520,Tablet,Email,No,No
S000253,U00012,2025-03-11T22:38:12,/blog/how-to-buy,Content,412,Mobile,Google,Yes,No
S000254,U00026,2025-08-07T12:51:44,/home,Landing,516,Mobile,YouTube,No,No
S000255,U00056,2025-12-01T17:04:33,/home,Landing,147,Mobile,YouTube,No,No
S000256,U00024,2025-11-08T03:22:57,/cart,Cart,62,Mobile,Google,No,No
S000257,U00198,2026-01-27T16:00:15,/search,Discovery,471,Mobile,Instagram,Yes,Yes
S000258,U00202,2025-10-17T20:55:16,/search,Discovery,357,Mobile,Instagram,Yes,Yes
S000259,U00206,2026-01-24T10:07:40,/checkout,Checkout,51,Desktop,Google,No,No
S000260,U00234,2025-04-26T16:27:18,/checkout,Checkout,630,Mobile,Google,No,No
S000261,U00084,2025-11-02T05:12:15,/cart,Cart,641,Mobile,Instagram,No,No
S000262,U00273,2026-01-16T11:24:12,/checkout,Checkout,735,Mobile,Email,Yes,No
S000263,U00214,2026-03-30T08:59:47,/search,Discovery,325,Mobile,YouTube,Yes,No
S000264,U00336,2026-03-26T07:32:35,/offers,Promotion,601,Desktop,Direct,No,Yes
S000265,U00076,2026-06-13T17:40:08,/support,Support,258,Desktop,YouTube,Yes,Yes
S000266,U00161,2025-11-22T06:37:50,/blog/how-to-buy,Content,165,Mobile,Google,No,No
S000267,U00377,2025-02-18T09:00:26,/blog/how-to-buy,Content,732,Desktop,Google,No,No
S000268,U00270,2025-10-20T16:31:22,/blog/how-to-buy,Content,331,Tablet,Email,No,No
S000269,U00313,2026-01-12T01:46:16,/offers,Promotion,206,Tablet,Instagram,No,No
S000270,U00395,2025-08-13T11:25:39,/offers,Promotion,731,Desktop,YouTube,No,No
S000271,U00287,2025-08-01T09:37:04,/cart,Cart,304,Desktop,YouTube,No,No
S000272,U00420,2025-09-26T01:46:35,/support,Support,159,Desktop,Instagram,Yes,No
S000273,U00336,2025-07-19T04:27:43,/blog/how-to-buy,Content,775,Mobile,Google,No,No
S000274,U00071,2025-03-26T20:07:51,/offers,Promotion,640,Mobile,Google,Yes,Yes
S000275,U00116,2026-05-11T12:08:55,/checkout,Checkout,248,Desktop,Email,No,No
S000276,U00349,2025-04-17T18:34:16,/search,Discovery,15,Tablet,Google,No,No
S000277,U00245,2026-05-21T06:55:12,/blog/how-to-buy,Content,214,Mobile,Instagram,No,No
S000278,U00394,2025-03-11T11:40:07,/home,Landing,677,Mobile,Affiliate,Yes,No
S000279,U00214,2025-05-17T12:56:20,/product/sku-100,Product,47,Tablet,Email,No,Yes
S000280,U00020,2025-01-08T04:45:09,/offers,Promotion,315,Mobile,Direct,No,No
S000281,U00269,2026-01-19T15:11:41,/checkout,Checkout,147,Mobile,Email,No,Yes
S000282,U00170,2025-05-07T05:06:45,/search,Discovery,758,Mobile,Instagram,Yes,Yes
S000283,U00405,2025-08-18T03:39:02,/cart,Cart,591,Mobile,Google,Yes,No
S000284,U00219,2026-02-05T05:31:39,/support,Support,345,Desktop,YouTube,Yes,Yes
S000285,U00245,2025-09-09T08:22:20,/product/sku-100,Product,264,Desktop,Email,Yes,No
S000286,U00169,2025-08-23T12:40:42,/offers,Promotion,606,Mobile,Direct,No,No
S000287,U00032,2026-06-03T16:26:07,/product/sku-220,Product,131,Mobile,Google,No,No
S000288,U00354,2025-04-02T04:47:17,/offers,Promotion,664,Tablet,Instagram,No,No
S000289,U00069,2026-01-07T09:57:24,/product/sku-220,Product,166,Mobile,Affiliate,No,No
S000290,U00242,2026-02-22T12:03:21,/checkout,Checkout,690,Mobile,Google,Yes,No
S000291,U00361,2025-10-09T00:09:31,/checkout,Checkout,89,Tablet,Direct,Yes,No
S000292,U00104,2026-03-21T19:55:58,/checkout,Checkout,559,Desktop,Instagram,No,Yes
S000293,U00368,2026-03-29T22:39:38,/product/sku-220,Product,510,Desktop,Affiliate,No,No
S000294,U00068,2026-02-03T15:37:59,/blog/how-to-buy,Content,435,Mobile,Direct,No,No
S000295,U00371,2025-01-17T21:49:50,/offers,Promotion,415,Desktop,Direct,Yes,No
